agricultureStructureIndicator,asOfDate,baseFloodElevation,basementEnclosureCrawlspace,reportedCity,condominiumIndicator,policyCount,countyCode,communityRatingSystemDiscount,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,censusTract,floodZone,houseWorship,latitude,longitude,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,state,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,reportedZipcode,primaryResidence,id
0,2021-09-02T02:27:19Z,4,NA,Temporarily Unavailable,N,1,51001,8,2012-10-27T04:00:00Z,1,NA,-2,51001090100,AE,0,37.9,-75.4,7,2.3,2.3,3,0,54,2,2040-01-01T05:00:00Z,1994-03-05T05:00:00Z,NA,NA,NA,0,1,0,VA,250000,13400,2012,23336,0,613f47f3f2b55a0837dffb09
0,2021-09-02T02:27:19Z,4,NA,Temporarily Unavailable,N,1,51001,8,2018-07-21T04:00:00Z,1,NA,-2,51001090100,AE,0,37.9,-75.4,7,2.3,2.3,3,0,54,2,2040-01-01T05:00:00Z,1994-03-05T05:00:00Z,NA,NA,NA,0,1,0,VA,250000,11000,2018,23336,0,613f47f3f2b55a0837dffb0a
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,1985-09-27T04:00:00Z,0,NA,NA,51001090700,AE,0,37.6,-75.9,0,NA,0,1,0,NA,1,1977-06-01T04:00:00Z,1985-08-12T04:00:00Z,NA,NA,NA,0,1,0,VA,27500,5000,1985,23358,1,613f47f3f2b55a0837e00153
0,2021-07-25T01:39:04Z,NA,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,0,NA,NA,51001090700,AE,0,37.6,-75.9,0,NA,0,1,0,NA,1,1977-06-01T04:00:00Z,1985-08-12T04:00:00Z,862.91,928.52,NA,0,1,0,VA,44000,7400,1999,23358,1,613f47f3f2b55a0837e005b3
0,2021-09-02T02:27:19Z,NA,NA,Temporarily Unavailable,N,1,51001,8,1998-02-05T05:00:00Z,0,NA,NA,51001090100,AE,0,38,-75.3,0,NA,0,2,0,NA,1,1960-07-01T04:00:00Z,1995-08-07T04:00:00Z,2006.81,NA,NA,0,1,0,VA,25000,0,1998,23336,1,613f47f6f2b55a0837e04020
0,2021-09-02T02:27:19Z,NA,NA,Temporarily Unavailable,N,1,51001,8,2008-05-12T04:00:00Z,0,NA,NA,51001090100,AE,0,38,-75.3,0,NA,0,2,0,NA,1,1960-07-01T04:00:00Z,1995-08-07T04:00:00Z,5480.9,NA,NA,0,1,0,VA,140000,0,2008,23336,1,613f47f6f2b55a0837e04026
0,2021-09-02T02:27:19Z,NA,NA,Temporarily Unavailable,N,1,51001,6,1999-09-16T04:00:00Z,0,NA,NA,51001090700,B,0,37.6,-75.9,4,NA,0,2,0,NA,1,2017-01-08T05:00:00Z,1996-08-31T04:00:00Z,7392.83,1957.8,NA,0,1,0,VA,133100,46300,1999,23358,0,613f47f6f2b55a0837e040f8
0,2021-09-02T02:27:19Z,NA,NA,Temporarily Unavailable,N,1,51001,6,2012-10-29T04:00:00Z,0,NA,NA,51001090700,B,0,37.6,-75.9,4,NA,0,2,0,NA,1,2017-01-08T05:00:00Z,1996-08-31T04:00:00Z,4414.73,NA,NA,0,1,0,VA,250000,100000,2012,23358,0,613f47f6f2b55a0837e04103
0,2021-09-02T02:27:19Z,9,NA,Temporarily Unavailable,N,1,51001,6,2012-10-29T04:00:00Z,1,NA,2,51001090300,AE,0,37.9,-75.7,0,1.8,10.5,1,0,10,1,2013-03-01T05:00:00Z,1996-10-21T04:00:00Z,39437.14,NA,30000,1,1,0,VA,76000,0,2012,23359,1,613f47f6f2b55a0837e04122
0,2021-09-02T02:27:19Z,7,NA,Temporarily Unavailable,N,1,51001,6,2012-10-29T04:00:00Z,1,NA,1,51001090600,A06,0,37.7,-75.8,4,4.8,8,2,0,10,1,1986-07-01T04:00:00Z,2001-08-15T04:00:00Z,9108.15,NA,NA,1,1,0,VA,193600,16600,2012,23417,1,613f47f6f2b55a0837e045ed
